Page,Title,Description,Price,Mileage
1,2019 Volvo XC60,T6 Inscription 4dr SUV,"$27,293","39,106 miles"
1,2023 Volvo XC60,B6 Ultimate Bright 4dr SUV,"$37,175","32,922 miles"
1,2023 Volvo XC60,B5 Core 4dr SUV,"$31,789","24,514 miles"
1,2012 Volvo XC60,T6 4dr SUV,"$11,799","83,670 miles"
1,2022 Volvo XC60,Recharge Plug-In Hybrid T8 Inscription Extended Range 4dr SUV,"$45,482","22,964 miles"
1,2020 Volvo XC60,T5 Momentum 4dr SUV,"$27,998","48,894 miles"
1,2022 Volvo XC60,Recharge Plug-In Hybrid T8 R-Design Extended Range 4dr SUV,"$40,675","30,553 miles"
1,2022 Volvo XC60,Recharge Plug-In Hybrid T8 Inscription 4dr SUV w/Prod. End 11/21,"$45,850","11,527 miles"
1,2022 Volvo XC60,B5 Momentum 4dr SUV,"$34,120","24,259 miles"
1,2013 Volvo XC60,T6 4dr SUV,"$7,902","165,954 miles"
1,2022 Volvo XC60,B5 Momentum 4dr SUV,"$28,998","49,321 miles"
1,2015 Volvo XC60,T5 Premier 4dr SUV,"$18,998","65,123 miles"
1,2017 Volvo XC60,T5 Dynamic 4dr SUV,"$19,998","56,135 miles"
1,2022 Volvo XC60,B5 Inscription 4dr SUV,"$37,250","30,156 miles"
1,2020 Volvo XC60,T8 Momentum Twin Engine Plug-In Hybrid 4dr SUV,"$34,000","31,890 miles"
1,2018 Volvo XC60,T6 Inscription 4dr SUV,"$24,998","71,641 miles"
1,2023 Volvo XC60,B5 Plus Dark 4dr SUV,"$36,099","35,568 miles"
1,2022 Volvo XC60,Recharge Plug-In Hybrid T8 R-Design 4dr SUV w/Prod. End 11/21,"$45,990","15,964 miles"
1,2022 Volvo XC60,Recharge Plug-In Hybrid T8 R-Design 4dr SUV w/Prod. End 11/21,"$44,920","21,216 miles"
1,2021 Volvo XC60,T5 Inscription 4dr SUV,"$31,110","61,143 miles"
1,2017 Volvo XC60,T5 Inscription 4dr SUV,"$15,900","90,573 miles"
2,2013 Volvo XC60,T6 4dr SUV,"$9,999","113,925 miles"
2,2010 Volvo XC60,3.2 4dr SUV,"$6,999","123,615 miles"
2,2019 Volvo XC60,T8 Momentum Twin Engine Plug-In Hybrid 4dr SUV,"$26,988","99,033 miles"
2,2024 Volvo XC60,B5 Plus 4dr SUV,"$35,990","14,541 miles"
2,2022 Volvo XC60,B5 Momentum 4dr SUV,"$27,199","32,006 miles"
2,2022 Volvo XC60,B5 Momentum 4dr SUV,"$30,998","23,237 miles"
2,2022 Volvo XC60,B5 Momentum 4dr SUV,"$30,998","10,991 miles"
2,2024 Volvo XC60,B5 Plus 4dr SUV,"$38,590","10,028 miles"
2,Certified 2022 Volvo XC60,Recharge Plug-In Hybrid T8 R-Design 4dr SUV w/Prod. End 11/21,"$37,500","32,723 miles"
2,2022 Volvo XC60,B5 Momentum 4dr SUV,"$29,998","33,051 miles"
2,2016 Volvo XC60,T5 Platinum 4dr SUV,"$10,999","114,773 miles"
2,2022 Volvo XC60,B5 Momentum 4dr SUV,"$33,998","12,890 miles"
2,2022 Volvo XC60,B5 Inscription 4dr SUV,"$31,590","26,467 miles"
2,2021 Volvo XC60,T5 Inscription 4dr SUV,"$28,998","42,285 miles"
2,2024 Volvo XC60,B5 Plus 4dr SUV,"$41,998","7,107 miles"
2,2022 Volvo XC60,B5 Momentum 4dr SUV,"$28,998","51,765 miles"
2,2024 Volvo XC60,B5 Ultimate 4dr SUV,"$43,998","13,203 miles"
2,2024 Volvo XC60,B5 Plus 4dr SUV,"$38,998","11,004 miles"
2,2022 Volvo XC60,B5 Momentum 4dr SUV,"$28,998","42,172 miles"
2,2024 Volvo XC60,B5 Plus 4dr SUV,"$42,998","5,498 miles"
2,2022 Volvo XC60,B5 Momentum 4dr SUV,"$31,998","30,046 miles"
4,2022 Volvo XC60,B6 Inscription 4dr SUV,"$33,990","38,656 miles"
4,2022 Volvo XC60,B5 Momentum 4dr SUV,"$30,998","38,132 miles"
4,2023 Volvo XC60,B5 Core 4dr SUV,"$34,299","14,242 miles"
4,2022 Volvo XC60,B5 Momentum 4dr SUV,"$26,998","42,431 miles"
4,2018 Volvo XC60,T8 Inscription Twin Engine Plug-In Hybrid 4dr SUV,"$24,998","72,364 miles"
4,2017 Volvo XC60,T5 Dynamic 4dr SUV,"$15,200","65,529 miles"
4,2024 Volvo XC60,B5 Plus 4dr SUV,"$39,998","14,868 miles"
4,Certified 2024 Volvo XC60,B5 Plus 4dr SUV,"$40,500","12,111 miles"
4,2021 Volvo XC60,T5 Momentum 4dr SUV,"$22,359","84,810 miles"
4,2021 Volvo XC60,T5 Inscription 4dr SUV,"$32,890","22,507 miles"
4,2023 Volvo XC60,B5 Plus Dark 4dr SUV,"$36,590","23,387 miles"
4,2010 Volvo XC60,T6 4dr SUV,"$5,900","159,490 miles"
4,2022 Volvo XC60,B5 Momentum 4dr SUV,"$31,998","27,428 miles"
4,2020 Volvo XC60,T5 Inscription 4dr SUV,"$28,998","32,475 miles"
4,2022 Volvo XC60,B5 Inscription 4dr SUV,"$35,461","22,018 miles"
4,2022 Volvo XC60,B6 Inscription 4dr SUV,"$32,998","45,007 miles"
4,2023 Volvo XC60,B5 Plus Dark 4dr SUV,"$36,998","20,100 miles"
4,2016 Volvo XC60,T6 Drive-E Platinum 4dr SUV,"$13,623","93,137 miles"
4,Certified 2024 Volvo XC60,B5 Plus 4dr SUV,"$41,500","10,750 miles"
4,2023 Volvo XC60,B5 Plus Bright 4dr SUV,"$35,998","21,110 miles"
4,2022 Volvo XC60,B5 Momentum 4dr SUV,"$29,998","37,818 miles"
5,2020 Volvo XC60,T5 Momentum 4dr SUV,"$24,998","42,582 miles"
5,2019 Volvo XC60,T5 Momentum 4dr SUV,"$25,998","34,540 miles"
5,2024 Volvo XC60,B5 Plus 4dr SUV,"$40,998","12,553 miles"
5,2022 Volvo XC60,B5 Momentum 4dr SUV,"$28,998","48,058 miles"
5,Certified 2021 Volvo XC60,T6 Momentum 4dr SUV,"$34,359","21,050 miles"
5,2023 Volvo XC60,B5 Plus Bright 4dr SUV,"$31,998","42,274 miles"
5,Certified 2022 Volvo XC60,Recharge Plug-In Hybrid T8 Inscription 4dr SUV w/Prod. End 11/21,"$44,759","25,496 miles"
5,2022 Volvo XC60,B5 Inscription 4dr SUV,"$32,990","31,172 miles"
5,2022 Volvo XC60,Recharge Plug-In Hybrid T8 R-Design 4dr SUV w/Prod. End 11/21,"$39,590","38,035 miles"
5,2022 Volvo XC60,B5 Momentum 4dr SUV,"$27,998","56,994 miles"
5,2022 Volvo XC60,B5 Momentum 4dr SUV,"$34,998","17,585 miles"
5,2022 Volvo XC60,B5 Momentum 4dr SUV,"$30,998","33,751 miles"
5,2023 Volvo XC60,B5 Plus Bright 4dr SUV,"$33,998","34,205 miles"
5,Certified 2022 Volvo XC60,B6 Inscription 4dr SUV,"$41,759","12,505 miles"
5,2022 Volvo XC60,B5 R-Design 4dr SUV,"$29,998","41,842 miles"
5,Certified 2024 Volvo XC60,B5 Plus 4dr SUV,"$41,000","13,650 miles"
5,2022 Volvo XC60,B5 Momentum 4dr SUV,"$28,998","34,777 miles"
5,2019 Volvo XC60,T5 Momentum 4dr SUV,"$22,998","53,485 miles"
5,2023 Volvo XC60,B5 Core 4dr SUV,"$36,998","5,051 miles"
5,2019 Volvo XC60,T8 Momentum Twin Engine Plug-In Hybrid 4dr SUV,"$26,590","50,621 miles"
5,2022 Volvo XC60,B5 Momentum 4dr SUV,"$28,998","44,208 miles"
6,2025 Volvo XC60,B5 Ultra 4dr SUV,"$55,989","5,861 miles"
6,2022 Volvo XC60,B5 Momentum 4dr SUV,"$29,998","53,134 miles"
6,2023 Volvo XC60,B5 Plus Bright 4dr SUV,"$40,998","7,252 miles"
6,2021 Volvo XC60,T5 Momentum 4dr SUV,"$31,998","11,882 miles"
6,2023 Volvo XC60,B5 Plus Dark 4dr SUV,"$34,998","38,747 miles"
6,2022 Volvo XC60,B5 Momentum 4dr SUV,"$32,998","14,232 miles"
6,2022 Volvo XC60,B5 Momentum 4dr SUV,"$28,998","43,317 miles"
6,2022 Volvo XC60,B6 Inscription 4dr SUV,"$34,998","34,294 miles"
6,2020 Volvo XC60,T5 Inscription 4dr SUV,"$29,554","28,178 miles"
6,2023 Volvo XC60,B5 Plus Dark 4dr SUV,"$33,998","39,738 miles"
6,2024 Volvo XC60,Recharge T8 Plus Plug-In Hybrid 4dr SUV,"$55,998","11,285 miles"
6,2024 Volvo XC60,B5 Plus 4dr SUV,"$41,998","11,812 miles"
6,2021 Volvo XC60,T5 Momentum 4dr SUV,"$28,417","27,813 miles"
6,2022 Volvo XC60,Recharge Plug-In Hybrid T8 Inscription Expression 4dr SUV w/Prod. End 11/21,"$35,998","35,480 miles"
6,2022 Volvo XC60,B6 Inscription 4dr SUV,"$39,422","14,429 miles"
6,2019 Volvo XC60,T5 Momentum 4dr SUV,"$27,998","20,455 miles"
6,2023 Volvo XC60,B5 Plus Dark 4dr SUV,"$41,998","8,274 miles"
6,2024 Volvo XC60,B5 Plus 4dr SUV,"$39,998","16,008 miles"
6,2022 Volvo XC60,B5 Momentum 4dr SUV,"$30,998","18,679 miles"
6,2022 Volvo XC60,B5 Inscription 4dr SUV,"$37,998","18,265 miles"
6,2022 Volvo XC60,B5 Momentum 4dr SUV,"$32,990","20,599 miles"
7,2021 Volvo XC60,T5 Inscription 4dr SUV,"$27,998","45,521 miles"
7,Certified 2023 Volvo XC60,Recharge T8 Ultimate Dark Plug-In Hybrid 4dr SUV,"$49,500","11,069 miles"
7,2022 Volvo XC60,B5 Inscription 4dr SUV,"$33,998","20,419 miles"
7,2022 Volvo XC60,B5 Momentum 4dr SUV,"$26,998","42,431 miles"
7,2024 Volvo XC60,Recharge T8 Plus Plug-In Hybrid 4dr SUV,"$51,990","14,266 miles"
7,2022 Volvo XC60,Recharge Plug-In Hybrid T8 R-Design 4dr SUV w/Prod. End 11/21,"$39,899","22,415 miles"
7,2019 Volvo XC60,T5 Inscription 4dr SUV,"$28,998","26,954 miles"
7,2022 Volvo XC60,B5 Momentum 4dr SUV,"$33,588","26,335 miles"
7,2021 Volvo XC60,T5 Inscription 4dr SUV,"$28,998","36,120 miles"
7,2022 Volvo XC60,B6 Inscription 4dr SUV,"$34,998","24,037 miles"
7,2013 Volvo XC60,T6 4dr SUV,"$10,999","105,635 miles"
7,2021 Volvo XC60,T5 Inscription 4dr SUV,"$31,998","26,653 miles"
7,2019 Volvo XC60,T5 Inscription 4dr SUV,"$27,998","30,120 miles"
7,2019 Volvo XC60,T5 Momentum 4dr SUV,"$27,998","41,565 miles"
7,2021 Volvo XC60,T5 Inscription 4dr SUV,"$27,998","59,617 miles"
7,2022 Volvo XC60,B5 Momentum 4dr SUV,"$30,998","33,751 miles"
7,2022 Volvo XC60,Recharge Plug-In Hybrid T8 Inscription 4dr SUV w/Prod. End 11/21,"$39,990","32,371 miles"
7,2023 Volvo XC60,B5 Plus Bright 4dr SUV,"$33,990","28,640 miles"
7,2020 Volvo XC60,T8 R-Design Twin Engine Plug-In Hybrid 4dr SUV,"$26,787","76,740 miles"
7,2019 Volvo XC60,T6 Momentum 4dr SUV,"$21,749","74,623 miles"
7,2021 Volvo XC60,T6 Momentum 4dr SUV,"$28,998","38,444 miles"
8,2022 Volvo XC60,B5 R-Design 4dr SUV,"$30,998","34,133 miles"
8,2024 Volvo XC60,B5 Plus 4dr SUV,"$38,590","13,424 miles"
8,2022 Volvo XC60,B5 Momentum 4dr SUV,"$32,590","20,585 miles"
8,2020 Volvo XC60,T5 Momentum 4dr SUV,"$23,797","54,329 miles"
8,2022 Volvo XC60,B5 Momentum 4dr SUV,"$30,998","33,325 miles"
8,2019 Volvo XC60,T5 Momentum 4dr SUV,"$25,998","43,955 miles"
8,2022 Volvo XC60,B5 Momentum 4dr SUV,"$33,998","27,374 miles"
8,2019 Volvo XC60,T6 Inscription 4dr SUV,"$26,998","43,831 miles"
8,2017 Volvo XC60,T6 Dynamic 4dr SUV,"$12,359","140,499 miles"
8,2022 Volvo XC60,B5 Momentum 4dr SUV,"$31,590","21,863 miles"
8,2022 Volvo XC60,B5 Momentum 4dr SUV,"$30,998","34,655 miles"
8,2019 Volvo XC60,T6 Momentum 4dr SUV,"$26,998","42,365 miles"
8,2023 Volvo XC60,B5 Plus Bright 4dr SUV,"$35,193","28,453 miles"
8,2022 Volvo XC60,B5 Momentum 4dr SUV,"$31,998","30,448 miles"
8,Certified 2022 Volvo XC60,Recharge Plug-In Hybrid T8 R-Design 4dr SUV w/Prod. End 11/21,"$44,359","34,802 miles"
8,2019 Volvo XC60,T5 Momentum 4dr SUV,"$25,998","52,141 miles"
8,2021 Volvo XC60,T5 Inscription 4dr SUV,"$25,199","82,166 miles"
8,2022 Volvo XC60,B5 Momentum 4dr SUV,"$30,998","37,284 miles"
8,2021 Volvo XC60,T5 Momentum 4dr SUV,"$26,998","36,953 miles"
8,2022 Volvo XC60,B5 Inscription 4dr SUV,"$34,998","35,010 miles"
8,2022 Volvo XC60,Recharge Plug-In Hybrid T8 R-Design 4dr SUV w/Prod. End 11/21,"$40,991","27,368 miles"
11,2023 Volvo XC60,B5 Core 4dr SUV,"$32,998","28,998 miles"
11,2021 Volvo XC60,Recharge Plug-In Hybrid T8 R-Design 4dr SUV,"$38,000","29,224 miles"
11,2020 Volvo XC60,T5 Inscription 4dr SUV,"$27,998","34,022 miles"
11,2022 Volvo XC60,B5 Inscription 4dr SUV,"$37,990","15,825 miles"
11,2021 Volvo XC60,T5 Momentum 4dr SUV,"$26,998","36,953 miles"
11,2021 Volvo XC60,Recharge Plug-In Hybrid T8 Inscription 4dr SUV,"$41,998","10,811 miles"
11,2022 Volvo XC60,B5 Momentum 4dr SUV,"$31,998","30,448 miles"
11,2022 Volvo XC60,B5 Inscription 4dr SUV,"$37,998","11,933 miles"
11,2019 Volvo XC60,T6 Momentum 4dr SUV,"$25,998","52,060 miles"
11,2023 Volvo XC60,B5 Plus Dark 4dr SUV,"$39,998","11,837 miles"
11,2021 Volvo XC60,T5 Momentum 4dr SUV,"$26,998","39,091 miles"
11,2024 Volvo XC60,B5 Plus 4dr SUV,"$41,998","12,549 miles"
11,2022 Volvo XC60,B5 R-Design 4dr SUV,"$30,998","33,209 miles"
11,2023 Volvo XC60,B5 Plus Dark 4dr SUV,"$40,998","12,860 miles"
11,2013 Volvo XC60,3.2 4dr SUV,"$9,500","111,027 miles"
11,2024 Volvo XC60,B5 Plus 4dr SUV,"$41,998","13,109 miles"
11,2019 Volvo XC60,T6 Inscription 4dr SUV,"$24,998","63,267 miles"
11,2020 Volvo XC60,T5 Inscription 4dr SUV,"$24,998","60,090 miles"
11,2015 Volvo XC60,T6 4dr SUV,"$8,999","171,792 miles"
11,2023 Volvo XC60,B5 Plus Bright 4dr SUV,"$37,998","14,612 miles"
11,2022 Volvo XC60,B5 Momentum 4dr SUV,"$33,998","14,978 miles"
13,2015 Volvo XC60,T5 Drive-E Premier 4dr SUV,"$17,998","71,735 miles"
13,2014 Volvo XC60,T6 4dr SUV,"$19,590","46,211 miles"
13,Certified 2024 Volvo XC60,B5 Ultimate 4dr SUV,"$48,500","13,843 miles"
13,2015 Volvo XC60,T6 4dr SUV,"$18,998","66,220 miles"
13,2016 Volvo XC60,T5 Platinum 4dr SUV,"$18,998","73,085 miles"
13,2016 Volvo XC60,T5 Drive-E Premier 4dr SUV,"$18,998","69,596 miles"
13,2021 Volvo XC60,T5 Momentum 4dr SUV,"$30,998","24,236 miles"
13,Certified 2022 Volvo XC60,Recharge Plug-In Hybrid T8 Inscription 4dr SUV w/Prod. End 11/21,"$45,759","25,409 miles"
13,2016 Volvo XC60,T5 Drive-E Platinum 4dr SUV,"$19,998","51,996 miles"
13,2023 Volvo XC60,B5 Plus Bright 4dr SUV,"$37,998","23,101 miles"
13,2016 Volvo XC60,T6 Drive-E 4dr SUV,"$19,998","67,500 miles"
13,2016 Volvo XC60,T5 Drive-E Premier 4dr SUV,"$20,998","43,361 miles"
13,2023 Volvo XC60,B5 Plus Dark 4dr SUV,"$37,998","23,368 miles"
13,2018 Volvo XC60,T6 Momentum 4dr SUV,"$24,590","42,954 miles"
13,2023 Volvo XC60,B5 Plus Dark 4dr SUV,"$37,998","24,014 miles"
13,2021 Volvo XC60,T5 Momentum 4dr SUV,"$28,998","29,290 miles"
13,2022 Volvo XC60,B5 Momentum 4dr SUV,"$32,998","27,075 miles"
13,2020 Volvo XC60,T5 Momentum 4dr SUV,"$24,590","67,198 miles"
13,2022 Volvo XC60,Recharge Plug-In Hybrid T8 Inscription Expression 4dr SUV w/Prod. End 11/21,"$38,590","31,031 miles"
13,2023 Volvo XC60,B5 Plus Bright 4dr SUV,"$32,590","28,055 miles"
13,2019 Volvo XC60,T6 R-Design 4dr SUV,"$24,990","70,113 miles"
15,2021 Volvo XC60,T5 Inscription 4dr SUV,"$29,998","36,639 miles"
15,2021 Volvo XC60,T5 Momentum 4dr SUV,"$25,998","52,145 miles"
15,2018 Volvo XC60,T6 Momentum 4dr SUV,"$25,998","54,567 miles"
15,2019 Volvo XC60,T6 Momentum 4dr SUV,"$28,998","39,482 miles"
15,2021 Volvo XC60,Recharge Plug-In Hybrid T8 Inscription Expression 4dr SUV,"$35,590","32,861 miles"
15,2019 Volvo XC60,T5 Momentum 4dr SUV,"$24,998","50,504 miles"
15,2022 Volvo XC60,B5 Inscription 4dr SUV,"$32,998","35,891 miles"
15,2022 Volvo XC60,Recharge Plug-In Hybrid T8 Inscription 4dr SUV w/Prod. End 11/21,"$40,590","43,243 miles"
15,2019 Volvo XC60,T5 Momentum 4dr SUV,"$26,998","53,965 miles"
15,2020 Volvo XC60,T5 Momentum 4dr SUV,"$26,998","59,725 miles"
15,2021 Volvo XC60,T5 Momentum 4dr SUV,"$26,998","55,683 miles"
15,2021 Volvo XC60,T5 Momentum 4dr SUV,"$26,998","56,353 miles"
15,2020 Volvo XC60,T5 Inscription 4dr SUV,"$27,998","45,682 miles"
15,2021 Volvo XC60,T6 Momentum 4dr SUV,"$27,998","50,603 miles"
15,2022 Volvo XC60,B5 Momentum 4dr SUV,"$28,998","44,805 miles"
15,2021 Volvo XC60,Recharge Plug-In Hybrid T8 Inscription Expression 4dr SUV,"$32,590","51,077 miles"
15,2022 Volvo XC60,B5 Momentum 4dr SUV,"$27,998","63,230 miles"
15,2020 Volvo XC60,T5 Momentum 4dr SUV,"$28,998","47,784 miles"
15,2016 Volvo XC60,T6 Drive-E 4dr SUV,"$20,590","39,200 miles"
15,2023 Volvo XC60,B5 Core 4dr SUV,"$37,998","5,226 miles"
15,2022 Volvo XC60,B5 Inscription 4dr SUV,"$38,998","5,625 miles"
17,2022 Volvo XC60,B5 Momentum 4dr SUV,"$33,998","23,485 miles"
17,2018 Volvo XC60,T8 Inscription Twin Engine Plug-In Hybrid 4dr SUV,"$31,998","24,535 miles"
17,2024 Volvo XC60,Recharge T8 Plus Plug-In Hybrid 4dr SUV,"$53,990",691 miles
17,2017 Volvo XC60,T5 Inscription 4dr SUV,"$20,998","54,545 miles"
17,2013 Volvo XC60,3.2 4dr SUV,"$10,899","125,230 miles"
17,2012 Volvo XC60,3.2 4dr SUV,"$12,997","85,620 miles"
17,2018 Volvo XC60,T5 Momentum 4dr SUV,"$23,990","57,337 miles"
17,2023 Volvo XC60,B5 Core 4dr SUV,"$32,998","27,201 miles"
17,2023 Volvo XC60,B5 Ultimate Dark 4dr SUV,"$42,998","25,502 miles"
17,2019 Volvo XC60,T6 Inscription 4dr SUV,"$23,628","68,287 miles"
17,2022 Volvo XC60,Recharge Plug-In Hybrid T8 Inscription 4dr SUV w/Prod. End 11/21,"$38,990","39,496 miles"
17,2019 Volvo XC60,T5 Momentum 4dr SUV,"$22,998","65,764 miles"
17,2021 Volvo XC60,T5 Momentum 4dr SUV,"$29,998","30,663 miles"
17,2022 Volvo XC60,Recharge Plug-In Hybrid T8 Inscription 4dr SUV w/Prod. End 11/21,"$43,590","18,885 miles"
17,2018 Volvo XC60,T5 R-Design 4dr SUV,"$22,498","77,448 miles"
17,2022 Volvo XC60,Recharge Plug-In Hybrid T8 Inscription Expression 4dr SUV w/Prod. End 11/21,"$41,998","28,069 miles"
17,2021 Volvo XC60,T5 Momentum 4dr SUV,"$26,904","36,681 miles"
17,2015 Volvo XC60,T5 Drive-E Premier Plus 4dr SUV w/Prod. End 6/14,"$15,990","73,406 miles"
17,2013 Volvo XC60,T6 4dr SUV,"$16,590","60,401 miles"
17,2016 Volvo XC60,T5 Premier 4dr SUV,"$17,590","77,476 miles"
17,2018 Volvo XC60,T5 Inscription 4dr SUV,"$25,998","46,946 miles"
19,2018 Volvo XC60,T8 R-Design Twin Engine Plug-In Hybrid 4dr SUV,"$29,990","30,821 miles"
19,2019 Volvo XC60,T8 R-Design Twin Engine Plug-In Hybrid 4dr SUV,"$34,998","50,545 miles"
19,2023 Volvo XC60,B5 Plus Bright 4dr SUV,"$38,990","10,933 miles"
19,2019 Volvo XC60,T5 R-Design 4dr SUV,"$24,990","50,434 miles"
19,2013 Volvo XC60,3.2 4dr SUV,"$8,359","140,292 miles"
19,2021 Volvo XC60,T5 Momentum 4dr SUV,"$29,590","37,862 miles"
19,2019 Volvo XC60,T8 R-Design Twin Engine Plug-In Hybrid 4dr SUV,"$32,590","31,527 miles"
19,2020 Volvo XC60,T6 R-Design 4dr SUV,"$30,590","40,032 miles"
19,2015 Volvo XC60,T6 Premier Plus 4dr SUV w/Prod. End 6/14,"$12,719","157,076 miles"
19,2020 Volvo XC60,T5 Inscription 4dr SUV,"$28,990","41,509 miles"
19,2020 Volvo XC60,T6 Inscription 4dr SUV,"$32,590","37,887 miles"
19,2020 Volvo XC60,T8 Momentum Twin Engine Plug-In Hybrid 4dr SUV,"$32,990","49,802 miles"
19,2021 Volvo XC60,T5 Inscription 4dr SUV,"$32,590","41,245 miles"
19,2013 Volvo XC60,3.2 4dr SUV,"$16,590","57,425 miles"
19,2016 Volvo XC60,T6 Drive-E 4dr SUV,"$18,990","65,675 miles"
19,2016 Volvo XC60,T6 4dr SUV,"$19,990","47,405 miles"
19,2017 Volvo XC60,T5 Dynamic 4dr SUV,"$19,590","67,977 miles"
19,2021 Volvo XC60,T5 Momentum 4dr SUV,Not Priced,"61,681 miles"
19,2011 Volvo XC60,T6 4dr SUV,"$7,999","142,252 miles"
19,2015 Volvo XC60,T5 Drive-E Premier 4dr SUV,"$16,590","61,404 miles"
19,Certified 2022 Volvo XC60,B5 Momentum 4dr SUV,"$35,000","37,453 miles"
