Page,Title,Description,Price,Mileage,Year
1,Volvo XC60,T6 Inscription 4dr SUV,27293,39106,2019
1,Volvo XC60,B6 Ultimate Bright 4dr SUV,37175,32922,2023
1,Volvo XC60,B5 Core 4dr SUV,31789,24514,2023
1,Volvo XC60,T6 4dr SUV,11799,83670,2012
1,Volvo XC60,Recharge Plug-In Hybrid T8 Inscription Extended Range 4dr SUV,45482,22964,2022
1,Volvo XC60,T5 Momentum 4dr SUV,27998,48894,2020
1,Volvo XC60,Recharge Plug-In Hybrid T8 R-Design Extended Range 4dr SUV,40675,30553,2022
1,Volvo XC60,Recharge Plug-In Hybrid T8 Inscription 4dr SUV w/Prod. End 11/21,45850,11527,2022
1,Volvo XC60,B5 Momentum 4dr SUV,34120,24259,2022
1,Volvo XC60,T6 4dr SUV,7902,165954,2013
1,Volvo XC60,B5 Momentum 4dr SUV,28998,49321,2022
1,Volvo XC60,T5 Premier 4dr SUV,18998,65123,2015
1,Volvo XC60,T5 Dynamic 4dr SUV,19998,56135,2017
1,Volvo XC60,B5 Inscription 4dr SUV,37250,30156,2022
1,Volvo XC60,T8 Momentum Twin Engine Plug-In Hybrid 4dr SUV,34000,31890,2020
1,Volvo XC60,T6 Inscription 4dr SUV,24998,71641,2018
1,Volvo XC60,B5 Plus Dark 4dr SUV,36099,35568,2023
1,Volvo XC60,Recharge Plug-In Hybrid T8 R-Design 4dr SUV w/Prod. End 11/21,45990,15964,2022
1,Volvo XC60,Recharge Plug-In Hybrid T8 R-Design 4dr SUV w/Prod. End 11/21,44920,21216,2022
1,Volvo XC60,T5 Inscription 4dr SUV,31110,61143,2021
1,Volvo XC60,T5 Inscription 4dr SUV,15900,90573,2017
2,Volvo XC60,T6 4dr SUV,9999,113925,2013
2,Volvo XC60,3.2 4dr SUV,6999,123615,2010
2,Volvo XC60,T8 Momentum Twin Engine Plug-In Hybrid 4dr SUV,26988,99033,2019
2,Volvo XC60,B5 Plus 4dr SUV,35990,14541,2024
2,Volvo XC60,B5 Momentum 4dr SUV,27199,32006,2022
2,Volvo XC60,B5 Momentum 4dr SUV,30998,23237,2022
2,Volvo XC60,B5 Momentum 4dr SUV,30998,10991,2022
2,Volvo XC60,B5 Plus 4dr SUV,38590,10028,2024
2,Certified  Volvo XC60,Recharge Plug-In Hybrid T8 R-Design 4dr SUV w/Prod. End 11/21,37500,32723,2022
2,Volvo XC60,B5 Momentum 4dr SUV,29998,33051,2022
2,Volvo XC60,T5 Platinum 4dr SUV,10999,114773,2016
2,Volvo XC60,B5 Momentum 4dr SUV,33998,12890,2022
2,Volvo XC60,B5 Inscription 4dr SUV,31590,26467,2022
2,Volvo XC60,T5 Inscription 4dr SUV,28998,42285,2021
2,Volvo XC60,B5 Plus 4dr SUV,41998,7107,2024
2,Volvo XC60,B5 Momentum 4dr SUV,28998,51765,2022
2,Volvo XC60,B5 Ultimate 4dr SUV,43998,13203,2024
2,Volvo XC60,B5 Plus 4dr SUV,38998,11004,2024
2,Volvo XC60,B5 Momentum 4dr SUV,28998,42172,2022
2,Volvo XC60,B5 Plus 4dr SUV,42998,5498,2024
2,Volvo XC60,B5 Momentum 4dr SUV,31998,30046,2022
4,Volvo XC60,B6 Inscription 4dr SUV,33990,38656,2022
4,Volvo XC60,B5 Momentum 4dr SUV,30998,38132,2022
4,Volvo XC60,B5 Core 4dr SUV,34299,14242,2023
4,Volvo XC60,B5 Momentum 4dr SUV,26998,42431,2022
4,Volvo XC60,T8 Inscription Twin Engine Plug-In Hybrid 4dr SUV,24998,72364,2018
4,Volvo XC60,T5 Dynamic 4dr SUV,15200,65529,2017
4,Volvo XC60,B5 Plus 4dr SUV,39998,14868,2024
4,Certified  Volvo XC60,B5 Plus 4dr SUV,40500,12111,2024
4,Volvo XC60,T5 Momentum 4dr SUV,22359,84810,2021
4,Volvo XC60,T5 Inscription 4dr SUV,32890,22507,2021
4,Volvo XC60,B5 Plus Dark 4dr SUV,36590,23387,2023
4,Volvo XC60,T6 4dr SUV,5900,159490,2010
4,Volvo XC60,B5 Momentum 4dr SUV,31998,27428,2022
4,Volvo XC60,T5 Inscription 4dr SUV,28998,32475,2020
4,Volvo XC60,B5 Inscription 4dr SUV,35461,22018,2022
4,Volvo XC60,B6 Inscription 4dr SUV,32998,45007,2022
4,Volvo XC60,B5 Plus Dark 4dr SUV,36998,20100,2023
4,Volvo XC60,T6 Drive-E Platinum 4dr SUV,13623,93137,2016
4,Certified  Volvo XC60,B5 Plus 4dr SUV,41500,10750,2024
4,Volvo XC60,B5 Plus Bright 4dr SUV,35998,21110,2023
4,Volvo XC60,B5 Momentum 4dr SUV,29998,37818,2022
5,Volvo XC60,T5 Momentum 4dr SUV,24998,42582,2020
5,Volvo XC60,T5 Momentum 4dr SUV,25998,34540,2019
5,Volvo XC60,B5 Plus 4dr SUV,40998,12553,2024
5,Volvo XC60,B5 Momentum 4dr SUV,28998,48058,2022
5,Certified  Volvo XC60,T6 Momentum 4dr SUV,34359,21050,2021
5,Volvo XC60,B5 Plus Bright 4dr SUV,31998,42274,2023
5,Certified  Volvo XC60,Recharge Plug-In Hybrid T8 Inscription 4dr SUV w/Prod. End 11/21,44759,25496,2022
5,Volvo XC60,B5 Inscription 4dr SUV,32990,31172,2022
5,Volvo XC60,Recharge Plug-In Hybrid T8 R-Design 4dr SUV w/Prod. End 11/21,39590,38035,2022
5,Volvo XC60,B5 Momentum 4dr SUV,27998,56994,2022
5,Volvo XC60,B5 Momentum 4dr SUV,34998,17585,2022
5,Volvo XC60,B5 Momentum 4dr SUV,30998,33751,2022
5,Volvo XC60,B5 Plus Bright 4dr SUV,33998,34205,2023
5,Certified  Volvo XC60,B6 Inscription 4dr SUV,41759,12505,2022
5,Volvo XC60,B5 R-Design 4dr SUV,29998,41842,2022
5,Certified  Volvo XC60,B5 Plus 4dr SUV,41000,13650,2024
5,Volvo XC60,B5 Momentum 4dr SUV,28998,34777,2022
5,Volvo XC60,T5 Momentum 4dr SUV,22998,53485,2019
5,Volvo XC60,B5 Core 4dr SUV,36998,5051,2023
5,Volvo XC60,T8 Momentum Twin Engine Plug-In Hybrid 4dr SUV,26590,50621,2019
5,Volvo XC60,B5 Momentum 4dr SUV,28998,44208,2022
6,Volvo XC60,B5 Ultra 4dr SUV,55989,5861,2025
6,Volvo XC60,B5 Momentum 4dr SUV,29998,53134,2022
6,Volvo XC60,B5 Plus Bright 4dr SUV,40998,7252,2023
6,Volvo XC60,T5 Momentum 4dr SUV,31998,11882,2021
6,Volvo XC60,B5 Plus Dark 4dr SUV,34998,38747,2023
6,Volvo XC60,B5 Momentum 4dr SUV,32998,14232,2022
6,Volvo XC60,B5 Momentum 4dr SUV,28998,43317,2022
6,Volvo XC60,B6 Inscription 4dr SUV,34998,34294,2022
6,Volvo XC60,T5 Inscription 4dr SUV,29554,28178,2020
6,Volvo XC60,B5 Plus Dark 4dr SUV,33998,39738,2023
6,Volvo XC60,Recharge T8 Plus Plug-In Hybrid 4dr SUV,55998,11285,2024
6,Volvo XC60,B5 Plus 4dr SUV,41998,11812,2024
6,Volvo XC60,T5 Momentum 4dr SUV,28417,27813,2021
6,Volvo XC60,Recharge Plug-In Hybrid T8 Inscription Expression 4dr SUV w/Prod. End 11/21,35998,35480,2022
6,Volvo XC60,B6 Inscription 4dr SUV,39422,14429,2022
6,Volvo XC60,T5 Momentum 4dr SUV,27998,20455,2019
6,Volvo XC60,B5 Plus Dark 4dr SUV,41998,8274,2023
6,Volvo XC60,B5 Plus 4dr SUV,39998,16008,2024
6,Volvo XC60,B5 Momentum 4dr SUV,30998,18679,2022
6,Volvo XC60,B5 Inscription 4dr SUV,37998,18265,2022
6,Volvo XC60,B5 Momentum 4dr SUV,32990,20599,2022
7,Volvo XC60,T5 Inscription 4dr SUV,27998,45521,2021
7,Certified  Volvo XC60,Recharge T8 Ultimate Dark Plug-In Hybrid 4dr SUV,49500,11069,2023
7,Volvo XC60,B5 Inscription 4dr SUV,33998,20419,2022
7,Volvo XC60,B5 Momentum 4dr SUV,26998,42431,2022
7,Volvo XC60,Recharge T8 Plus Plug-In Hybrid 4dr SUV,51990,14266,2024
7,Volvo XC60,Recharge Plug-In Hybrid T8 R-Design 4dr SUV w/Prod. End 11/21,39899,22415,2022
7,Volvo XC60,T5 Inscription 4dr SUV,28998,26954,2019
7,Volvo XC60,B5 Momentum 4dr SUV,33588,26335,2022
7,Volvo XC60,T5 Inscription 4dr SUV,28998,36120,2021
7,Volvo XC60,B6 Inscription 4dr SUV,34998,24037,2022
7,Volvo XC60,T6 4dr SUV,10999,105635,2013
7,Volvo XC60,T5 Inscription 4dr SUV,31998,26653,2021
7,Volvo XC60,T5 Inscription 4dr SUV,27998,30120,2019
7,Volvo XC60,T5 Momentum 4dr SUV,27998,41565,2019
7,Volvo XC60,T5 Inscription 4dr SUV,27998,59617,2021
7,Volvo XC60,B5 Momentum 4dr SUV,30998,33751,2022
7,Volvo XC60,Recharge Plug-In Hybrid T8 Inscription 4dr SUV w/Prod. End 11/21,39990,32371,2022
7,Volvo XC60,B5 Plus Bright 4dr SUV,33990,28640,2023
7,Volvo XC60,T8 R-Design Twin Engine Plug-In Hybrid 4dr SUV,26787,76740,2020
7,Volvo XC60,T6 Momentum 4dr SUV,21749,74623,2019
7,Volvo XC60,T6 Momentum 4dr SUV,28998,38444,2021
8,Volvo XC60,B5 R-Design 4dr SUV,30998,34133,2022
8,Volvo XC60,B5 Plus 4dr SUV,38590,13424,2024
8,Volvo XC60,B5 Momentum 4dr SUV,32590,20585,2022
8,Volvo XC60,T5 Momentum 4dr SUV,23797,54329,2020
8,Volvo XC60,B5 Momentum 4dr SUV,30998,33325,2022
8,Volvo XC60,T5 Momentum 4dr SUV,25998,43955,2019
8,Volvo XC60,B5 Momentum 4dr SUV,33998,27374,2022
8,Volvo XC60,T6 Inscription 4dr SUV,26998,43831,2019
8,Volvo XC60,T6 Dynamic 4dr SUV,12359,140499,2017
8,Volvo XC60,B5 Momentum 4dr SUV,31590,21863,2022
8,Volvo XC60,B5 Momentum 4dr SUV,30998,34655,2022
8,Volvo XC60,T6 Momentum 4dr SUV,26998,42365,2019
8,Volvo XC60,B5 Plus Bright 4dr SUV,35193,28453,2023
8,Volvo XC60,B5 Momentum 4dr SUV,31998,30448,2022
8,Certified  Volvo XC60,Recharge Plug-In Hybrid T8 R-Design 4dr SUV w/Prod. End 11/21,44359,34802,2022
8,Volvo XC60,T5 Momentum 4dr SUV,25998,52141,2019
8,Volvo XC60,T5 Inscription 4dr SUV,25199,82166,2021
8,Volvo XC60,B5 Momentum 4dr SUV,30998,37284,2022
8,Volvo XC60,T5 Momentum 4dr SUV,26998,36953,2021
8,Volvo XC60,B5 Inscription 4dr SUV,34998,35010,2022
8,Volvo XC60,Recharge Plug-In Hybrid T8 R-Design 4dr SUV w/Prod. End 11/21,40991,27368,2022
11,Volvo XC60,B5 Core 4dr SUV,32998,28998,2023
11,Volvo XC60,Recharge Plug-In Hybrid T8 R-Design 4dr SUV,38000,29224,2021
11,Volvo XC60,T5 Inscription 4dr SUV,27998,34022,2020
11,Volvo XC60,B5 Inscription 4dr SUV,37990,15825,2022
11,Volvo XC60,T5 Momentum 4dr SUV,26998,36953,2021
11,Volvo XC60,Recharge Plug-In Hybrid T8 Inscription 4dr SUV,41998,10811,2021
11,Volvo XC60,B5 Momentum 4dr SUV,31998,30448,2022
11,Volvo XC60,B5 Inscription 4dr SUV,37998,11933,2022
11,Volvo XC60,T6 Momentum 4dr SUV,25998,52060,2019
11,Volvo XC60,B5 Plus Dark 4dr SUV,39998,11837,2023
11,Volvo XC60,T5 Momentum 4dr SUV,26998,39091,2021
11,Volvo XC60,B5 Plus 4dr SUV,41998,12549,2024
11,Volvo XC60,B5 R-Design 4dr SUV,30998,33209,2022
11,Volvo XC60,B5 Plus Dark 4dr SUV,40998,12860,2023
11,Volvo XC60,3.2 4dr SUV,9500,111027,2013
11,Volvo XC60,B5 Plus 4dr SUV,41998,13109,2024
11,Volvo XC60,T6 Inscription 4dr SUV,24998,63267,2019
11,Volvo XC60,T5 Inscription 4dr SUV,24998,60090,2020
11,Volvo XC60,T6 4dr SUV,8999,171792,2015
11,Volvo XC60,B5 Plus Bright 4dr SUV,37998,14612,2023
11,Volvo XC60,B5 Momentum 4dr SUV,33998,14978,2022
13,Volvo XC60,T5 Drive-E Premier 4dr SUV,17998,71735,2015
13,Volvo XC60,T6 4dr SUV,19590,46211,2014
13,Certified  Volvo XC60,B5 Ultimate 4dr SUV,48500,13843,2024
13,Volvo XC60,T6 4dr SUV,18998,66220,2015
13,Volvo XC60,T5 Platinum 4dr SUV,18998,73085,2016
13,Volvo XC60,T5 Drive-E Premier 4dr SUV,18998,69596,2016
13,Volvo XC60,T5 Momentum 4dr SUV,30998,24236,2021
13,Certified  Volvo XC60,Recharge Plug-In Hybrid T8 Inscription 4dr SUV w/Prod. End 11/21,45759,25409,2022
13,Volvo XC60,T5 Drive-E Platinum 4dr SUV,19998,51996,2016
13,Volvo XC60,B5 Plus Bright 4dr SUV,37998,23101,2023
13,Volvo XC60,T6 Drive-E 4dr SUV,19998,67500,2016
13,Volvo XC60,T5 Drive-E Premier 4dr SUV,20998,43361,2016
13,Volvo XC60,B5 Plus Dark 4dr SUV,37998,23368,2023
13,Volvo XC60,T6 Momentum 4dr SUV,24590,42954,2018
13,Volvo XC60,B5 Plus Dark 4dr SUV,37998,24014,2023
13,Volvo XC60,T5 Momentum 4dr SUV,28998,29290,2021
13,Volvo XC60,B5 Momentum 4dr SUV,32998,27075,2022
13,Volvo XC60,T5 Momentum 4dr SUV,24590,67198,2020
13,Volvo XC60,Recharge Plug-In Hybrid T8 Inscription Expression 4dr SUV w/Prod. End 11/21,38590,31031,2022
13,Volvo XC60,B5 Plus Bright 4dr SUV,32590,28055,2023
13,Volvo XC60,T6 R-Design 4dr SUV,24990,70113,2019
15,Volvo XC60,T5 Inscription 4dr SUV,29998,36639,2021
15,Volvo XC60,T5 Momentum 4dr SUV,25998,52145,2021
15,Volvo XC60,T6 Momentum 4dr SUV,25998,54567,2018
15,Volvo XC60,T6 Momentum 4dr SUV,28998,39482,2019
15,Volvo XC60,Recharge Plug-In Hybrid T8 Inscription Expression 4dr SUV,35590,32861,2021
15,Volvo XC60,T5 Momentum 4dr SUV,24998,50504,2019
15,Volvo XC60,B5 Inscription 4dr SUV,32998,35891,2022
15,Volvo XC60,Recharge Plug-In Hybrid T8 Inscription 4dr SUV w/Prod. End 11/21,40590,43243,2022
15,Volvo XC60,T5 Momentum 4dr SUV,26998,53965,2019
15,Volvo XC60,T5 Momentum 4dr SUV,26998,59725,2020
15,Volvo XC60,T5 Momentum 4dr SUV,26998,55683,2021
15,Volvo XC60,T5 Momentum 4dr SUV,26998,56353,2021
15,Volvo XC60,T5 Inscription 4dr SUV,27998,45682,2020
15,Volvo XC60,T6 Momentum 4dr SUV,27998,50603,2021
15,Volvo XC60,B5 Momentum 4dr SUV,28998,44805,2022
15,Volvo XC60,Recharge Plug-In Hybrid T8 Inscription Expression 4dr SUV,32590,51077,2021
15,Volvo XC60,B5 Momentum 4dr SUV,27998,63230,2022
15,Volvo XC60,T5 Momentum 4dr SUV,28998,47784,2020
15,Volvo XC60,T6 Drive-E 4dr SUV,20590,39200,2016
15,Volvo XC60,B5 Core 4dr SUV,37998,5226,2023
15,Volvo XC60,B5 Inscription 4dr SUV,38998,5625,2022
17,Volvo XC60,B5 Momentum 4dr SUV,33998,23485,2022
17,Volvo XC60,T8 Inscription Twin Engine Plug-In Hybrid 4dr SUV,31998,24535,2018
17,Volvo XC60,Recharge T8 Plus Plug-In Hybrid 4dr SUV,53990,691,2024
17,Volvo XC60,T5 Inscription 4dr SUV,20998,54545,2017
17,Volvo XC60,3.2 4dr SUV,10899,125230,2013
17,Volvo XC60,3.2 4dr SUV,12997,85620,2012
17,Volvo XC60,T5 Momentum 4dr SUV,23990,57337,2018
17,Volvo XC60,B5 Core 4dr SUV,32998,27201,2023
17,Volvo XC60,B5 Ultimate Dark 4dr SUV,42998,25502,2023
17,Volvo XC60,T6 Inscription 4dr SUV,23628,68287,2019
17,Volvo XC60,Recharge Plug-In Hybrid T8 Inscription 4dr SUV w/Prod. End 11/21,38990,39496,2022
17,Volvo XC60,T5 Momentum 4dr SUV,22998,65764,2019
17,Volvo XC60,T5 Momentum 4dr SUV,29998,30663,2021
17,Volvo XC60,Recharge Plug-In Hybrid T8 Inscription 4dr SUV w/Prod. End 11/21,43590,18885,2022
17,Volvo XC60,T5 R-Design 4dr SUV,22498,77448,2018
17,Volvo XC60,Recharge Plug-In Hybrid T8 Inscription Expression 4dr SUV w/Prod. End 11/21,41998,28069,2022
17,Volvo XC60,T5 Momentum 4dr SUV,26904,36681,2021
17,Volvo XC60,T5 Drive-E Premier Plus 4dr SUV w/Prod. End 6/14,15990,73406,2015
17,Volvo XC60,T6 4dr SUV,16590,60401,2013
17,Volvo XC60,T5 Premier 4dr SUV,17590,77476,2016
17,Volvo XC60,T5 Inscription 4dr SUV,25998,46946,2018
19,Volvo XC60,T8 R-Design Twin Engine Plug-In Hybrid 4dr SUV,29990,30821,2018
19,Volvo XC60,T8 R-Design Twin Engine Plug-In Hybrid 4dr SUV,34998,50545,2019
19,Volvo XC60,B5 Plus Bright 4dr SUV,38990,10933,2023
19,Volvo XC60,T5 R-Design 4dr SUV,24990,50434,2019
19,Volvo XC60,3.2 4dr SUV,8359,140292,2013
19,Volvo XC60,T5 Momentum 4dr SUV,29590,37862,2021
19,Volvo XC60,T8 R-Design Twin Engine Plug-In Hybrid 4dr SUV,32590,31527,2019
19,Volvo XC60,T6 R-Design 4dr SUV,30590,40032,2020
19,Volvo XC60,T6 Premier Plus 4dr SUV w/Prod. End 6/14,12719,157076,2015
19,Volvo XC60,T5 Inscription 4dr SUV,28990,41509,2020
19,Volvo XC60,T6 Inscription 4dr SUV,32590,37887,2020
19,Volvo XC60,T8 Momentum Twin Engine Plug-In Hybrid 4dr SUV,32990,49802,2020
19,Volvo XC60,T5 Inscription 4dr SUV,32590,41245,2021
19,Volvo XC60,3.2 4dr SUV,16590,57425,2013
19,Volvo XC60,T6 Drive-E 4dr SUV,18990,65675,2016
19,Volvo XC60,T6 4dr SUV,19990,47405,2016
19,Volvo XC60,T5 Dynamic 4dr SUV,19590,67977,2017
19,Volvo XC60,T6 4dr SUV,7999,142252,2011
19,Volvo XC60,T5 Drive-E Premier 4dr SUV,16590,61404,2015
19,Certified  Volvo XC60,B5 Momentum 4dr SUV,35000,37453,2022
